Setor,Preço (Inteira),Preço (Meia),Vendas Estimadas (Inteira),Vendas Estimadas (Meia),Renda Estimada por Setor
Amarelo (Sup. e Inferior),R$150,00,R$75,00,25.000,5.000,R$4.125.000,00
Laranja (Sup. e Inferior),R$150,00,R$75,00,10.000,2.000,R$1.650.000,00
Vermelho (Superior),R$230,00,R$115,00,5.000,1.000,R$1.265.000,00
Vermelho (Inferior),R$280,00,R$140,00,3.000,600,R$924.000,00
Roxo (Superior),R$230,00,R$115,00,4.000,800,R$1.012.000,00
Roxo (Inferior),R$300,00,R$150,00,2.000,400,R$660.000,00
Total Estimado,,,49.000,9.800,R$9.636.000,00
