times jogados, horário,data, publico total, setor mais visitado, jogo id
Cruzeiro e Tombense,20:00h,19/01/2025 , 16.492, Amarelo,JOGO_1 
Cruzeiro e Ceará,16:00h,27/06/2025 ,52.802, Vermelho, JOGO_2
Cruzeiro e CRB,19:30h,30/06/2025,  33.068 , Amarelo, JOGO_3
Cruzeiro vs Flamengo,18:30h,04/05/2025,48.862 pagantes,amarelo, JOGO_4
Cruzeiro vs Flamengo,19:30h,11/08/2025,56.579 pagantes,amarelo,JOGO_5
Cruzeiro vs São Paulo,16:00h,22/09/2024,42.150 pagantes,roxo,JOGO_6
Cruzeiro vs Palmeiras,21:30h,05/10/2024,38.990 pagantes,vermelho,JOGO_7
Cruzeiro vs Atlético-MG,19:00h,10/11/2024,58.000 pagantes,amarelo,JOGO_8
